銘柄コード,銘柄名称,銘柄略称
4172,Ｈｉクラテス,Ｈｉクラテス
4174,アピリッツ,アピリッツ
4175,ｃｏｌｙ,Ｇ－ｃｏｌｙ
4176,ココナラ,Ｇ－ココナラ
4177,ｉ‐ｐｌｕｇ,Ｇ－ｉ－ｐｌｕｇ
4178,Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ,Ｇ－Ｓイノベーション
4179,ジーネクスト,Ｇ－ジーネクスト
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,Ａｐｐｉｅｒ
4182,三菱瓦斯化学,菱瓦斯化
4183,三井化学,三井化学
4186,東京応化工業,東応化
4187,大阪有機化学工業,大有機化
4188,三菱ケミカルグループ,三菱ケミカルグループ
4189,ＫＨネオケム,ＫＨネオケム
4192,スパイダープラス,Ｇ－スパイダープラス
4193,ファブリカホールディングス,ファブリカＨＤ
4194,ビジョナル,ビジョナル
4196,ネオマーケティング,ネオマーケ
4197,アスマーク,アスマーク
4198,テンダ,テンダ
4199,ワンダープラネット,Ｇ－ワンプラ
4202,ダイセル,ダイセル
4203,住友ベークライト,住友ベーク
4204,積水化学工業,積水化
4205,日本ゼオン,日ゼオン
4206,アイカ工業,アイカ工
4208,ＵＢＥ,ＵＢＥ
4212,積水樹脂,積水樹脂
4216,旭有機材,旭有機材
4218,ニチバン,ニチバン
4220,リケンテクノス,リケンテクノス
4221,大倉工業,大倉工
4222,児玉化学工業,児玉化
4224,ロンシール工業,ロンシール工
4228,積水化成品工業,積水化成
4229,群栄化学工業,群栄化
4231,タイガースポリマー,タイガーポリ
4234,サンエー化研,サンエー化研
4235,ウルトラファブリックス・ホールディングス,ＵＦＨＤ
4237,フジプレアム,フジプレアム
4238,ミライアル,ミライアル
4240,クラスターテクノロジー,クラスターＴ
4241,アテクト,アテクト
4242,タカギセイコー,タカギセイコー
4243,ニックス,ニックス
4245,ダイキアクシス,ダイキアクシス
4246,ダイキョーニシカワ,ＤＮＣ
4247,ポバール興業,ポバール興業
4248,竹本容器,竹本容器
4249,森六,森六
4251,恵和,恵和
4255,ＴＨＥＣＯＯ,Ｇ－ＴＨＥＣＯＯ
4256,サインド,Ｇ－サインド
4258,網屋,Ｇ－網屋
4259,エクサウィザーズ,Ｇ－エクサウィザーズ
4260,ハイブリッドテクノロジーズ,Ｇ－ハイブリッドテク
4261,アジアクエスト,Ｇ－アジアクエスト
